table_size,sc
10,0.3127236878725443
11,0.32048581721890573
12,0.3276497430753645
13,0.334573527327129
14,0.3414770608316319
15,0.348495468044052
16,0.3553929084033612
17,0.362272965377853
18,0.36917542362143935
19,0.3759185640392248
20,0.382526221581526
21,0.3889928407336075
22,0.39518293861998505
23,0.40130153165541255
24,0.40722836982739014
25,0.4130342411462568
26,0.4186196839772324
27,0.42407770838959785
28,0.4294543713926116
29,0.43482547888088996
30,0.43999569178792775
31,0.4450214613118434
32,0.4500721410469923
33,0.45495364639793867
34,0.4596328234864224
35,0.46434318314148587
36,0.4688128635613968
37,0.47314939083780927
38,0.47726226384358106
39,0.48127173259121214
40,0.4851733168268835
41,0.48900733883496555
42,0.4925856279550634
43,0.4960787922526017
44,0.49950977062713336
45,0.5027208581442323
46,0.5058197601057053
47,0.5089441099088698
48,0.5118833356242365
49,0.5147073292113803
50,0.5174288145911473
51,0.5200852466854634
52,0.522584332265659
53,0.5250196190314731
54,0.5273859098884758
55,0.5296892979818607
56,0.5319355180365162
57,0.5341145342838879
58,0.5362146980640465
59,0.5382951487274018
60,0.540383843057784
61,0.542402645428591
62,0.5443809463048748
63,0.5462588894956149
64,0.5481280513888698
65,0.5500024103765546
66,0.5517498885760875
67,0.5535177967330348
68,0.5551821214216884
69,0.556892323909448
70,0.558572598301697
71,0.5601491100154999
72,0.5618053702472795
73,0.5634037455997187
74,0.5649331250433465
75,0.5665099951774548
76,0.5680762919125505
77,0.5695816571957087
78,0.5709707150897279
79,0.5725067253090076
80,0.5739576107057278
81,0.5753434428169972
82,0.5767093826013107
83,0.5780670787185972
84,0.5794272837780224
85,0.5808003919684461
86,0.5821372997080129
87,0.5835053900141594
88,0.5847639829169714
89,0.585955013592194
90,0.5872605595550283
91,0.5885103711603553
92,0.5897759532591248
93,0.590974689970916
94,0.5921365093912392
95,0.5933519126472369
96,0.5946149858038677
97,0.5958282385380322
98,0.5970491973087653
99,0.5981739202274678
100,0.5993027649796838
101,0.6004468425948841
102,0.6015183400982179
103,0.6026410917052402
104,0.6037525530726388
105,0.6047980651038227
106,0.6058828241584605
107,0.6069433898424761
108,0.6079681134959403
109,0.6089881776854328
110,0.6100200697450072
111,0.6110772304361205
112,0.6121170077424162
113,0.613110369619148
114,0.6141096454309206
115,0.6150549789867136
116,0.6160497745446674
117,0.6170452869432321
118,0.6180278962107985
119,0.6189972439270608
120,0.6199244772574252
121,0.6208739326467314
122,0.621823925666496
123,0.6227464995328887
124,0.623657603949505
125,0.624596306729646
126,0.6255260490021489
127,0.6264305226431132
128,0.6273444944221735
129,0.6282808674703286
130,0.6291973481915276
131,0.6300785245126335
132,0.6309914210307773
133,0.6318738518229525
134,0.6327878236020129
135,0.6336517957484542
136,0.6345232947213112
137,0.6353910302809603
138,0.6362422785065558
139,0.6371257845596475
140,0.6379908319670052
141,0.6388343741560322
142,0.6396350851185502
143,0.6405289853605018
144,0.6413834593688469
145,0.6422293312898597
146,0.6430662427032346
147,0.64389473123943
148,0.6447590618061767
149,0.6455511706813624
150,0.6463694442388506
151,0.6471778612379372
152,0.6479966724258837
153,0.6487866307792363
154,0.6495930764666424
155,0.6504113500241306
156,0.6512210214942865
157,0.6520059619633619
158,0.6528143789624485
159,0.6536231543818406
160,0.6544469834540643
161,0.6552073721322119
162,0.656041953813601
163,0.6568231308694685
164,0.6576381786442071
165,0.6584304667295455
166,0.6592363747864936
167,0.6600202399946524
168,0.6607817039337166
169,0.6615537412717936
170,0.6623352767479666
171,0.6630850920271016
172,0.6638797098444259
173,0.664650134291128
174,0.6653963653672079
175,0.6661725245387982
176,0.6669013722300606
177,0.6676180336309356
178,0.6683692825912928
179,0.669136660465398
180,0.669892389679574
181,0.6706239255231279
182,0.6713581495189731
183,0.6721262442336893
184,0.6728317946050935
185,0.6735346568242061
186,0.6742742571246341
187,0.6750109900626178
188,0.6757527408848788
189,0.6764887569822515
190,0.6772267443913047
191,0.6779607891769971
192,0.6786903537088707
193,0.6793804920071376
194,0.6801143575826772
195,0.6808500152597445
196,0.681576712429174
197,0.6823077106422695
198,0.6830093183903129
199,0.6837602089303645
200,0.6845094865790413
201,0.6852480116185526
202,0.685949619366596
203,0.686679542318775
204,0.6874184257785919
205,0.6881694955287962
206,0.6889096334596825
207,0.6896221730270441
208,0.6903377591670026
209,0.691045997690698
210,0.6917587164682123
211,0.6924965246671126
212,0.6932300318223468
213,0.6938819983580766
214,0.6945432838217497
215,0.6952568986500278
216,0.6959649579635705
217,0.6966733756974187
218,0.6973644100464494
219,0.6980457670472314
220,0.6987151169677785
221,0.6994179791868913
222,0.7000907341003408
223,0.7007599048107352
224,0.7014640215009172
225,0.7021598945240725
226,0.7028335454882858
227,0.7035564792445074
228,0.7042218865416938
229,0.7049064693252254
230,0.7056027007686861
231,0.7062664951744978
232,0.7069706118646798
233,0.7076469509811846
234,0.7083449745261728
235,0.7090317078315375
236,0.7096815238454341
237,0.7103773968685894
238,0.7110379654916514
239,0.7117026559482269
240,0.7123859842606891
241,0.7130329329121416
242,0.7137236088408669
243,0.7144051450518016
244,0.7150610542108919
245,0.7157363180664802
246,0.7164079977190132
247,0.7170891755096424
248,0.7177370202118587
249,0.7184210653649319
250,0.7191095907718241
251,0.7197626325684704
252,0.7203685420949416
253,0.7210156699565469
254,0.7216964893268706
255,0.722352398485961
256,0.7230133255293285
257,0.7236305252954235
258,0.7243219180647598
259,0.7250002284929448
260,0.7256516573982162
261,0.7263025486730295
262,0.7269837264636586
263,0.7276235067090009
264,0.7282813871797716
265,0.7289487657886384
266,0.7295837073598563
267,0.7302376452072664
268,0.7308761709815393
269,0.7315406822279621
270,0.7322202471272165
271,0.7328611026334753
272,0.7335334991266194
273,0.734181881459294
274,0.7348580413656459
275,0.7355354557430671
276,0.7362202177367514
277,0.7369030084187553
278,0.7375906377748838
279,0.7382698442538326
280,0.7389757530455421
281,0.7396352464076877
282,0.7403017289657907
283,0.7409601470670197
284,0.7416090670301526
285,0.7422794922116164
286,0.7429164050945145
287,0.7435758984566601
288,0.7442266105213206
289,0.7449135230368379
290,0.745556349854777
291,0.7461647683233869
292,0.7468188853809498
293,0.747484471888289
294,0.7481928896221371
295,0.7488561463974907
296,0.7494905503382502
297,0.7501262087500791
298,0.7507763831842813
299,0.7513704648406705
300,0.7520367681886209
301,0.7526984120725995
302,0.7533534251809261
303,0.7540025243542118
304,0.7546236667436673
305,0.7552595043656489
306,0.7559241948222244
307,0.7565795663508565
308,0.7572365507708635
309,0.7579390545696707
310,0.7585799100759295
311,0.759218077429897
312,0.7598596497767669
313,0.7605307917988416
314,0.761178636501058
315,0.7618284525149547
316,0.7625232502771933
317,0.7632058617490445
318,0.7638635630096625
319,0.7645094364001985
320,0.7651793239512039
321,0.765849569922515
322,0.7665337942857409
323,0.767160492189932
324,0.7678375481470476
325,0.7684952494076657
326,0.7691753519373783
327,0.7698328739878435
328,0.7704491777031746
329,0.7711196028846383
330,0.7717333976578308
331,0.7723534647863699
332,0.772988227147435
333,0.7736142082110149
334,0.7742471784705525
335,0.7748962776438381
336,0.7755394628820828
337,0.7761658023659683
338,0.7767894536975625
339,0.7774369399794733
340,0.778107365160937
341,0.7787559267037644
342,0.7793716927886373
343,0.7799887133445794
344,0.7806268806985468
345,0.7812772343429017
346,0.781915580907022
347,0.7825774040011534
348,0.7831928116657207
349,0.7838062480186078
350,0.7844286448791327
351,0.7850531922614905
352,0.78562648554016
353,0.7862114274787587
354,0.7868325698682143
355,0.787387942131608
356,0.7880053211078557
357,0.7886037038079111
358,0.7891488610925977
359,0.7897610429744154
360,0.7903477770145416
361,0.7909465181349026
362,0.7915816389162732
363,0.7921979426316044
364,0.792802776897159
365,0.7933730236032316
366,0.7939991838769643
367,0.7946153083821427
368,0.795166558812023
369,0.7957891348827006
370,0.7963916394162696
371,0.796972280311202
372,0.797571021431563
373,0.7981391176158025
374,0.798713127735083
375,0.7993550585022583
376,0.7999500362094114
377,0.8005557665257298
378,0.8011548660663963
379,0.8017951839421968
380,0.8024050360920287
381,0.8030148882418606
382,0.8036086114779444
383,0.8042369222735102
384,0.8048485665248696
385,0.805464691030048
386,0.8060670163534641
387,0.8066542880240486
388,0.8072623480723529
389,0.8078428097571326
390,0.8084428053485628
391,0.80904584751259
392,0.8096763088299889
393,0.810312504872276
394,0.8109295254282182
395,0.8116130329508332
396,0.8122374011230383
397,0.8128990450070169
398,0.8135909754068116
399,0.8142572787547618
400,0.814957632031736
401,0.815625548271061
402,0.81625600958846
403,0.8169300189729789
404,0.8175217708973823
405,0.8183031271634026
406,0.819032691695276
407,0.8199047282985914
408,0.8204914623387176
409,0.821128196011463
410,0.8222321305524458
411,0.8229120538720056
412,0.8234579279973032
413,0.8242774560258608
414,0.8250867690757111
415,0.8260871201484004
416,0.8267611295329192
417,0.8275571810314656
418,0.8282729463815768
419,0.8292030470743853
420,0.8297184554737143
421,0.8307881608755204
422,0.8315286572267121
423,0.8323548160309217
424,0.8332519420556229
425,0.8344963773563671
426,0.8352619631289447
427,0.8362158987720699
428,0.8372348877006459
429,0.838667493661785
430,0.8393486714524141
431,0.8400214263658636
432,0.8419857488502325
433,0.8440217553957041
434,0.8444497092404877
435,0.8456488043725844
436,0.8470317691214097
437,0.8483799671006002
438,0.8499242209869067
439,0.8508473324837578
440,0.852092484625113
441,0.8532181035945793
442,0.8542990992360092
443,0.8554723881061089
444,0.8561969347537052
445,0.8569447787211599
446,0.8577234468348889
447,0.8586761280069447
448,0.8592678799313481
449,0.8601868695946858
450,0.8609632079764289
451,0.8618433090366182
452,0.8626990375160326
453,0.863336488029389
454,0.8642045820093437
455,0.8649226770914408
456,0.8653816342926512
457,0.8663206954930976
458,0.8670181814076277
459,0.8676291088183761
460,0.8683407523349739
461,0.8692152978804277
462,0.8698692357278378
463,0.8706471870009558
464,0.8713692247064134
465,0.8720733413965954
466,0.872950395884188
467,0.8737548702599138
468,0.8744100625783933
469,0.8753396256407435
470,0.8762451745426243
471,0.8770604015275156
472,0.8778582451275896
473,0.8786347627194854
474,0.8794688067704162
475,0.8805087632868648
476,0.881444957124867
477,0.882295130089546
478,0.883166629062403
479,0.8840675185003121
480,0.8847768322849241
481,0.8856598007075576
482,0.8863709065936971
483,0.8873981391892999
484,0.8882085275000667
485,0.8891744702234267
486,0.8901285850767047
487,0.8909346723438054
488,0.8917905800333725
489,0.8924400376269637
490,0.8934282024092655
491,0.8943414573477149
492,0.8952081176464474
493,0.8961206557442858
494,0.8968358834639387
495,0.8977702852004134
496,0.898729059517663
497,0.8996570096886385
498,0.9003625600600426
499,0.9011319092458281
500,0.9019896090369228
